rank;name;artist;date_added;popularity
1;HIPNOZA;NIKOŚ;2023-12-16 09:39:37;69
2;Last Christmas - Single Version;Wham!;2023-12-16 09:39:37;88
3;All I Want for Christmas Is You;Mariah Carey;2023-12-16 09:39:37;99
4;Snowman;Sia;2023-12-16 09:39:37;94
5;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-16 09:39:37;97
6;BFF;bambi;2023-12-16 09:39:37;76
7;Jingle Bell Rock;Bobby Helms;2023-12-16 09:39:37;93
8;Merry Christmas Everyone;Shakin' Stevens;2023-12-16 09:39:37;90
9;Santa Tell Me;Ariana Grande;2023-12-16 09:39:37;95
10;Fluid;ReTo;2023-12-16 09:39:37;74
11;Stan;Gibbs;2023-12-16 09:39:37;66
12;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-16 09:39:37;79
13;CEO;Asster;2023-12-16 09:39:37;31
14;greedy;Tate McRae;2023-12-16 09:39:37;100
15;Mam Cię;Paluch;2023-12-16 09:39:37;71
16;Driving Home for Christmas;Chris Rea;2023-12-16 09:39:37;74
17;Sleigh Ride;The Ronettes;2023-12-16 09:39:37;83
18;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-16 09:39:37;95
19;Holly Jolly Christmas;Michael Bublé;2023-12-16 09:39:37;82
20;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-16 09:39:37;86
21;Nicea;PRO8L3M;2023-12-16 09:39:37;66
22;Jolie Jolie;Blacha 2115;2023-12-16 09:39:37;73
23;Autumn Dance;L.U.C.;2023-12-16 09:39:37;50
24;Underneath the Tree;Kelly Clarkson;2023-12-16 09:39:37;85
25;Byłem człowiekiem;PRO8L3M;2023-12-16 09:39:37;68
26;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-16 09:39:37;71
27;Miyabi;PRO8L3M;2023-12-16 09:39:37;68
28;JEREMY SOCHAN;Oki;2023-12-16 09:39:37;73
29;Całkiem Nowa Bajka;Kleks;2023-12-16 09:39:37;62
30;Nim Zajdzie Słońce;Smolasty;2023-12-16 09:39:37;73
31;Ne Rozumiju;Vixen;2023-12-16 09:39:37;67
32;Kulig;Kaz Bałagane;2023-12-16 09:39:37;68
33;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-16 09:39:37;90
34;5 INFLUENCEREK;Zeamsone;2023-12-16 09:39:37;69
35;Feliz Navidad;José Feliciano;2023-12-16 09:39:37;87
36;Strangers;Kenya Grace;2023-12-16 09:39:37;97
37;Dzięki, że jesteś;Lanberry;2023-12-16 09:39:37;69
38;Kto Wie?;De Su;2023-12-16 09:39:37;66
39;Coraz Bliżej Święta;Margaret;2023-12-16 09:39:37;66
40;ITALODISCO;The Kolors;2023-12-16 09:39:37;80
41;eXplosion;PRO8L3M;2023-12-16 09:39:37;0
42;TYLE SŁOŃCA;White Widow;2023-12-16 09:39:37;71
43;Na grobie rycerz (M. Konopnicka);sanah;2023-12-16 09:39:37;25
44;Overdrive (feat. Norma Jean Martine);Ofenbach;2023-12-16 09:39:37;83
45;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-16 09:39:37;88
46;NIE MA CIĘ;Fukaj;2023-12-16 09:39:37;69
47;KŁAMSTWA;Mortal;2023-12-16 09:39:37;65
48;S-class;PRO8L3M;2023-12-16 09:39:37;68
49;Mistletoe and Wine;Cliff Richard;2023-12-16 09:39:37;78
50;MILLIE WALKY;bambi;2023-12-16 09:39:37;61
1;HIPNOZA;NIKOŚ;2023-12-17 08:41:23;70
2;Last Christmas - Single Version;Wham!;2023-12-17 08:41:23;89
3;All I Want for Christmas Is You;Mariah Carey;2023-12-17 08:41:23;99
4;Snowman;Sia;2023-12-17 08:41:23;94
5;Rockin' Around The Christmas Tree;Brenda Lee;2023-12-17 08:41:23;98
6;Jingle Bell Rock;Bobby Helms;2023-12-17 08:41:23;93
7;Merry Christmas Everyone;Shakin' Stevens;2023-12-17 08:41:23;91
8;Santa Tell Me;Ariana Grande;2023-12-17 08:41:23;95
9;It's the Most Wonderful Time of the Year;Andy Williams;2023-12-17 08:41:23;79
10;BFF;bambi;2023-12-17 08:41:23;76
11;Sleigh Ride;The Ronettes;2023-12-17 08:41:23;83
12;Driving Home for Christmas;Chris Rea;2023-12-17 08:41:23;75
13;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;2023-12-17 08:41:23;95
14;It's Beginning to Look a Lot like Christmas;Michael Bublé;2023-12-17 08:41:23;87
15;Holly Jolly Christmas;Michael Bublé;2023-12-17 08:41:23;83
16;Underneath the Tree;Kelly Clarkson;2023-12-17 08:41:23;85
17;Stan;Gibbs;2023-12-17 08:41:23;66
18;Fluid;ReTo;2023-12-17 08:41:23;74
19;Kto Wie?;De Su;2023-12-17 08:41:23;67
20;Feliz Navidad;José Feliciano;2023-12-17 08:41:23;87
21;greedy;Tate McRae;2023-12-17 08:41:23;100
22;Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet);Frank Sinatra;2023-12-17 08:41:23;90
23;Mam Cię;Paluch;2023-12-17 08:41:23;71
24;Jolie Jolie;Blacha 2115;2023-12-17 08:41:23;73
25;Coraz Bliżej Święta;Margaret;2023-12-17 08:41:23;67
26;Autumn Dance;L.U.C.;2023-12-17 08:41:23;50
27;Do They Know It's Christmas? - 1984 Version;Band Aid;2023-12-17 08:41:23;88
28;Ding dong;Kayah;2023-12-17 08:41:23;64
29;Całkiem Nowa Bajka;Kleks;2023-12-17 08:41:23;62
30;Mistletoe and Wine;Cliff Richard;2023-12-17 08:41:23;78
31;Nicea;PRO8L3M;2023-12-17 08:41:23;66
32;Nim Zajdzie Słońce;Smolasty;2023-12-17 08:41:23;73
33;Explosion Ech poleczko - DNSQ Remix;Kalwi & Remi;2023-12-17 08:41:23;71
34;My Only Wish (This Year);Britney Spears;2023-12-17 08:41:23;87
35;Dzień jeden w roku;Czerwone Gitary;2023-12-17 08:41:23;65
36;Happy Xmas (War Is Over) - Remastered 2010;John Lennon;2023-12-17 08:41:23;91
37;CEO;Asster;2023-12-17 08:41:23;54
38;Dzięki, że jesteś;Lanberry;2023-12-17 08:41:23;69
39;JEREMY SOCHAN;Oki;2023-12-17 08:41:23;73
40;Thank God It's Christmas - 2011 Remaster;Queen;2023-12-17 08:41:23;74
41;ITALODISCO;The Kolors;2023-12-17 08:41:23;80
42;Mistletoe;Justin Bieber;2023-12-17 08:41:23;92
43;Ne Rozumiju;Vixen;2023-12-17 08:41:23;67
44;Zaśnieżone miasta;Gromee;2023-12-17 08:41:23;64
45;5 INFLUENCEREK;Zeamsone;2023-12-17 08:41:23;69
46;Strangers;Kenya Grace;2023-12-17 08:41:23;97
47;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;2023-12-17 08:41:23;90
48;Z kopyta kulig rwie;Skaldowie;2023-12-17 08:41:23;65
49;Kulig;Kaz Bałagane;2023-12-17 08:41:23;68
50;Carol of the Bells;Mykola Dmytrovych Leontovych;2023-12-17 08:41:23;85
